@relation bval_Master_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {buggy,clean}

@data
2,0.017241,0.017241,0,2,0,2,1,3,0,4,6,9,0.666667,13,13,58,4.97728,buggy
7,0.018779,0.014085,0,1,0,2,1,11,0,1,1,1,1,109,107.5,213,0,clean
21,0.141509,0.056604,1,3,28,3,1,16,23,1,6,15,0.6,121,119.5,106,64.423162,buggy
135,0.134571,0.178654,4,7,38,8,1,16,0,1,4,8,1,142,140.5,431,29.122458,buggy
37,0.219512,0.231707,2,2,4,2,1,16,4,1,5,6,1,80,78.5,82,39.2984,buggy
15,0.211538,0.076923,0,2,0,2,1,15,0,2,5,40,0.075,157,155.5,52,25.450415,buggy
9,0.011601,0.009281,2,24,7,31,1,13,1,1,5,24,0.666667,202,200.5,431,3.569172,buggy
51,0.171171,0.288288,4,5,311,5,1,15,40,1,2,13,0.615385,287,285.5,111,37.926358,buggy
16,0.009615,0.067308,4,6,3,8,1,14,3,1,7,18,0.833333,177,175.5,208,0,buggy
26,0.027356,0.051672,4,3,20,3,2,18,19,1,3,4,1,62,60.5,329,113.633221,buggy
18,0.038732,0.024648,2,6,27,7,1,16,22,1,9,26,0.769231,100,98.5,284,1.261807,buggy
16,0.086957,0.028986,3,0,0,1,1,15,0,1,1,5,0.2,88,86.5,138,32.870389,clean
24,0.054945,0.032967,2,5,28,7,2,16,0,1,9,26,0.769231,100,98.5,273,1.261807,buggy
10,0,0.051546,0,3,36,5,1,17,3,1,1,1,1,136,134.5,194,0,clean
3,0.018349,0.009174,0,16,55,22,1,16,6,1,5,11,1,300,298.5,109,10.10293,buggy
44,0.288591,0.006711,3,1,24,2,1,18,24,1,6,10,0.7,82,80.5,149,106.309743,buggy
120,1.235955,0.11236,3,1,49,2,1,13,49,1,4,13,0.538462,146,144.5,89,10.996292,clean
52,0,0.18638,6,6,31,8,2,18,3,1,4,6,0.833333,104,102.5,279,0,buggy
10,0.101695,0.067797,2,2,0,2,1,15,0,2,3,16,0.4375,156,154.5,59,18.705094,buggy
2,0.019231,0.019231,0,14,348,15,1,17,316,1,1,1,1,323,163,52,0,clean
173,0.4375,0.077381,7,3,0,3,2,15,1,2,3,16,0.4375,156,154.5,336,18.705094,buggy
9,0.005587,0.019553,0,6,6,7,1,11,0,1,1,1,1,46,44.5,358,3.869416,buggy
4,0.024691,0.024691,1,6,274,6,1,14,3,1,7,18,0.833333,177,175.5,81,0,buggy
4,0.012346,0,0,9,34,11,1,10,3,1,5,9,0.777778,130,128.5,324,1.222392,buggy
